"","conglome","vivienda","hogar","district","male","age","ccdd","ccpp","ccdi","hid","hhmem","lhhmem","kids","k_hhmem","infants","children","adults","ces","depprov","hconsump","hconsumplm","hhequiv","lhhequiv","lhhconsplm","CAST","QUE","AYM","near_x","near_y","cusco","pothuan_mita","border","d_bnd","bfe4_1","bfe4_2","bfe4_3","elv_sh","slope","near_dist","dpot","lat","lon","dbnd_sh","dbnd_sh2","dbnd_sh3","dbnd_sh4","x","y"
"1341","2440"," 75","11",210708,"female",26,21,7,8,"2440 7511",3,1.0986123085022,2,0.666666686534882,1,1,1,1.89999997615814,2107,59,76.0820388793945,40.0431785583496,3.68995833396912,4.33181238174438,0,1,0,929553.625,8288128,0,1,0,82.0499496459961,0,1,0,4.11275,3.6497,711666.625,7.11666631698608,15.0299997329712,70.370002746582,0.82049947977066,0.673219382762909,0.5523761510849,0.453224360942841,-1.96656036376953,0.627993583679199
"1342","2440"," 74","11",210708,"male",62,21,7,8,"2440 7411",3,1.0986123085022,1,0.333333343267441,1,0,2,2.40000009536743,2107,791,1020.01519775391,425.006317138672,6.05210399627686,6.92757272720337,0,1,0,929553.625,8288128,0,1,0,82.0499496459961,0,1,0,4.11275,3.6497,711666.625,7.11666631698608,15.0299997329712,70.370002746582,0.82049947977066,0.673219382762909,0.5523761510849,0.453224360942841,-1.96656036376953,0.627993583679199
"1343","2440"," 16","11",210708,"male",72,21,7,8,"2440 1611",2,0.6931471824646,0,0,0,0,2,2,2107,322,415.227416992188,207.613708496094,5.33567905426025,6.02882623672485,0,1,0,929553.625,8288128,0,1,0,82.0499496459961,0,1,0,4.11275,3.6497,711666.625,7.11666631698608,15.0299997329712,70.370002746582,0.82049947977066,0.673219382762909,0.5523761510849,0.453224360942841,-1.96656036376953,0.627993583679199
"1344","2440"," 73","11",210708,"male",87,21,7,8,"2440 7311",1,0,0,0,0,0,1,1,2107,-67,-86.3982543945312,-86.3982543945312,0,0,0,1,0,929553.625,8288128,0,1,0,82.0499496459961,0,1,0,4.11275,3.6497,711666.625,7.11666631698608,15.0299997329712,70.370002746582,0.82049947977066,0.673219382762909,0.5523761510849,0.453224360942841,-1.96656036376953,0.627993583679199
"1345","2380","  8","11",210708,"female",43,21,7,8,"2380  811",3,1.0986123085022,0,0,0,0,3,3,2107,705,845.102966308594,281.700988769531,5.64084625244141,6.7394585609436,1,0,0,929553.625,8288128,0,1,0,82.0499496459961,0,1,0,4.11275,3.6497,711666.625,7.11666631698608,15.0299997329712,70.370002746582,0.82049947977066,0.673219382762909,0.5523761510849,0.453224360942841,-1.96656036376953,0.627993583679199
"1346","2440"," 15","11",210708,"male",54,21,7,8,"2440 1511",7,1.94591009616852,4,0.571428596973419,1,3,3,4.90000009536743,2107,977,1259.86706542969,257.11572265625,5.54952621459961,7.13876152038574,0,1,0,929553.625,8288128,0,1,0,82.0499496459961,0,1,0,4.11275,3.6497,711666.625,7.11666631698608,15.0299997329712,70.370002746582,0.82049947977066,0.673219382762909,0.5523761510849,0.453224360942841,-1.96656036376953,0.627993583679199
"1347","2440"," 76","11",210708,"male",48,21,7,8,"2440 7611",2,0.6931471824646,0,0,0,0,2,2,2107,878,1132.20397949219,566.101989746094,6.33877420425415,7.03192138671875,0,1,0,929553.625,8288128,0,1,0,82.0499496459961,0,1,0,4.11275,3.6497,711666.625,7.11666631698608,15.0299997329712,70.370002746582,0.82049947977066,0.673219382762909,0.5523761510849,0.453224360942841,-1.96656036376953,0.627993583679199
"1348","2380"," 77","11",210708,"male",65,21,7,8,"2380 7711",3,1.0986123085022,0,0,0,0,3,3,2107,1565,1876.0087890625,625.336242675781,6.43828964233398,7.53690195083618,1,0,0,929553.625,8288128,0,1,0,82.0499496459961,0,1,0,4.11275,3.6497,711666.625,7.11666631698608,15.0299997329712,70.370002746582,0.82049947977066,0.673219382762909,0.5523761510849,0.453224360942841,-1.96656036376953,0.627993583679199
"1349","2380"," 20","11",210708,"female",39,21,7,8,"2380 2011",6,1.7917594909668,1,0.16666667163372,0,1,5,5.5,2107,1564,1874.81005859375,340.874542236328,5.83151435852051,7.53626251220703,0,1,0,929553.625,8288128,0,1,0,82.0499496459961,0,1,0,4.11275,3.6497,711666.625,7.11666631698608,15.0299997329712,70.370002746582,0.82049947977066,0.673219382762909,0.5523761510849,0.453224360942841,-1.96656036376953,0.627993583679199
"1350","2440"," 14","11",210708,"male",23,21,7,8,"2440 1411",5,1.60943794250488,3,0.600000023841858,2,1,2,3.29999995231628,2107,447,576.418151855469,174.672164916992,5.16291093826294,6.35683345794678,0,1,0,929553.625,8288128,0,1,0,82.0499496459961,0,1,0,4.11275,3.6497,711666.625,7.11666631698608,15.0299997329712,70.370002746582,0.82049947977066,0.673219382762909,0.5523761510849,0.453224360942841,-1.96656036376953,0.627993583679199
"1351","2440"," 77","11",210708,"male",24,21,7,8,"2440 7711",3,1.0986123085022,1,0.333333343267441,0,1,2,2.5,2107,272,350.751098632812,140.300445556641,4.94378614425659,5.86007690429688,0,1,0,929553.625,8288128,0,1,0,82.0499496459961,0,1,0,4.11275,3.6497,711666.625,7.11666631698608,15.0299997329712,70.370002746582,0.82049947977066,0.673219382762909,0.5523761510849,0.453224360942841,-1.96656036376953,0.627993583679199
"1352","2440"," 13","11",210708,"female",60,21,7,8,"2440 1311",4,1.3862943649292,1,0.25,1,0,3,3.40000009536743,2107,831,1071.59619140625,315.175354003906,5.75312900543213,6.97690439224243,0,1,0,929553.625,8288128,0,1,0,82.0499496459961,0,1,0,4.11275,3.6497,711666.625,7.11666631698608,15.0299997329712,70.370002746582,0.82049947977066,0.673219382762909,0.5523761510849,0.453224360942841,-1.96656036376953,0.627993583679199
"1353","2380"," 33","11",210708,"female",57,21,7,8,"2380 3311",3,1.0986123085022,0,0,0,0,3,3,2107,1498,1795.69396972656,598.564636230469,6.39453458786011,7.4931468963623,0,1,0,929553.625,8288128,0,1,0,82.0499496459961,0,1,0,4.11275,3.6497,711666.625,7.11666631698608,15.0299997329712,70.370002746582,0.82049947977066,0.673219382762909,0.5523761510849,0.453224360942841,-1.96656036376953,0.627993583679199
"1354","2441"," 91","11",210807,"female",63,21,8,7,"2441 9111",2,0.6931471824646,0,0,0,0,2,2,2108,874,1127.0458984375,563.52294921875,6.3342080116272,7.0273551940918,0,1,0,914503.375,8324552,0,1,0,80.7871704101562,0,1,0,4.05265,3.18128,748311.3125,7.4831132888794,14.7299995422363,70.5130462646484,0.807871699333191,0.652656674385071,0.52726286649704,0.425960749387741,-1.82351684570312,0.327993392944336
"1355","2441"," 96","11",210807,"male",49,21,8,7,"2441 9611",7,1.94591009616852,5,0.714285731315613,3,2,2,4.19999980926514,2108,2214,2855.0107421875,679.764465332031,6.52174615859985,7.95683097839355,0,1,0,914503.375,8324552,0,1,0,80.7871704101562,0,1,0,4.05265,3.18128,748311.3125,7.4831132888794,14.7299995422363,70.5130462646484,0.807871699333191,0.652656674385071,0.52726286649704,0.425960749387741,-1.82351684570312,0.327993392944336
"1356","2442"," 35","11",210807,"male",46,21,8,7,"2442 3511",2,0.6931471824646,1,0.5,0,1,1,1.5,2108,1474,1900.76147460938,1267.17431640625,7.14454460144043,7.55000972747803,0,1,0,914503.375,8324552,0,1,0,80.7871704101562,0,1,0,4.05265,3.18128,748311.3125,7.4831132888794,14.7299995422363,70.5130462646484,0.807871699333191,0.652656674385071,0.52726286649704,0.425960749387741,-1.82351684570312,0.327993392944336
"1357","2441"," 19","11",210807,"male",80,21,8,7,"2441 1911",3,1.0986123085022,0,0,0,0,3,3,2108,459,591.892517089844,197.297500610352,5.28471279144287,6.38332509994507,1,0,0,914503.375,8324552,0,1,0,80.7871704101562,0,1,0,4.05265,3.18128,748311.3125,7.4831132888794,14.7299995422363,70.5130462646484,0.807871699333191,0.652656674385071,0.52726286649704,0.425960749387741,-1.82351684570312,0.327993392944336
"1358","2442"," 96","11",210807,"female",36,21,8,7,"2442 9611",2,0.6931471824646,1,0.5,1,0,1,1.39999997615814,2108,892,1150.25732421875,821.612365722656,6.71126890182495,7.0477409362793,1,0,0,914503.375,8324552,0,1,0,80.7871704101562,0,1,0,4.05265,3.18128,748311.3125,7.4831132888794,14.7299995422363,70.5130462646484,0.807871699333191,0.652656674385071,0.52726286649704,0.425960749387741,-1.82351684570312,0.327993392944336
"1359","2442"," 32","11",210807,"male",40,21,8,7,"2442 3211",3,1.0986123085022,1,0.333333343267441,1,0,2,2.40000009536743,2108,2027,2613.86938476562,1089.11218261719,6.99311828613281,7.86858701705933,1,0,0,914503.375,8324552,0,1,0,80.7871704101562,0,1,0,4.05265,3.18128,748311.3125,7.4831132888794,14.7299995422363,70.5130462646484,0.807871699333191,0.652656674385071,0.52726286649704,0.425960749387741,-1.82351684570312,0.327993392944336
"1360","2441"," 21","11",210807,"male",67,21,8,7,"2441 2111",4,1.3862943649292,0,0,0,0,4,4,2108,796,1026.46276855469,256.615692138672,5.54757976531982,6.93387413024902,0,1,0,914503.375,8324552,0,1,0,80.7871704101562,0,1,0,4.05265,3.18128,748311.3125,7.4831132888794,14.7299995422363,70.5130462646484,0.807871699333191,0.652656674385071,0.52726286649704,0.425960749387741,-1.82351684570312,0.327993392944336
"1361","2442"," 94","11",210807,"male",37,21,8,7,"2442 9411",4,1.3862943649292,2,0.5,1,1,2,2.90000009536743,2108,1971,2541.65600585938,876.43310546875,6.77586030960083,7.84057092666626,1,0,0,914503.375,8324552,0,1,0,80.7871704101562,0,1,0,4.05265,3.18128,748311.3125,7.4831132888794,14.7299995422363,70.5130462646484,0.807871699333191,0.652656674385071,0.52726286649704,0.425960749387741,-1.82351684570312,0.327993392944336
"1362","2442"," 92","11",210807,"male",61,21,8,7,"2442 9211",5,1.60943794250488,1,0.200000002980232,1,0,4,4.40000009536743,2108,1819,2345.64794921875,533.101806640625,6.27871227264404,7.76031684875488,0,1,0,914503.375,8324552,0,1,0,80.7871704101562,0,1,0,4.05265,3.18128,748311.3125,7.4831132888794,14.7299995422363,70.5130462646484,0.807871699333191,0.652656674385071,0.52726286649704,0.425960749387741,-1.82351684570312,0.327993392944336
"1363","2441"," 94","11",210807,"male",55,21,8,7,"2441 9411",14,2.63905739784241,5,0.357142865657806,1,4,9,11.3999996185303,2108,4315,5564.30517578125,488.096954345703,6.190514087677,8.62412738800049,0,1,0,914503.375,8324552,0,1,0,80.7871704101562,0,1,0,4.05265,3.18128,748311.3125,7.4831132888794,14.7299995422363,70.5130462646484,0.807871699333191,0.652656674385071,0.52726286649704,0.425960749387741,-1.82351684570312,0.327993392944336
"1364","2442"," 33","11",210807,"male",27,21,8,7,"2442 3311",3,1.0986123085022,1,0.333333343267441,1,0,2,2.40000009536743,2108,842,1085.78100585938,452.408721923828,6.11458587646484,6.99005460739136,1,0,0,914503.375,8324552,0,1,0,80.7871704101562,0,1,0,4.05265,3.18128,748311.3125,7.4831132888794,14.7299995422363,70.5130462646484,0.807871699333191,0.652656674385071,0.52726286649704,0.425960749387741,-1.82351684570312,0.327993392944336
"1365","2441"," 24","11",210807,"male",44,21,8,7,"2441 2411",6,1.7917594909668,2,0.333333343267441,0,2,4,5,2108,2784,3590.04077148438,718.008178710938,6.57648086547852,8.1859188079834,0,1,0,914503.375,8324552,0,1,0,80.7871704101562,0,1,0,4.05265,3.18128,748311.3125,7.4831132888794,14.7299995422363,70.5130462646484,0.807871699333191,0.652656674385071,0.52726286649704,0.425960749387741,-1.82351684570312,0.327993392944336
"1366","2441"," 92","11",210807,"male",60,21,8,7,"2441 9211",7,1.94591009616852,2,0.28571429848671,0,2,5,6,2108,1905,2456.54736328125,409.424560546875,6.01475286483765,7.80651235580444,0,1,0,914503.375,8324552,0,1,0,80.7871704101562,0,1,0,4.05265,3.18128,748311.3125,7.4831132888794,14.7299995422363,70.5130462646484,0.807871699333191,0.652656674385071,0.52726286649704,0.425960749387741,-1.82351684570312,0.327993392944336
"1367","2442"," 31","11",210807,"male",38,21,8,7,"2442 3111",5,1.60943794250488,3,0.600000023841858,0,3,2,3.5,2108,1680,2166.40380859375,618.972534179688,6.42806100845337,7.680823802948,1,0,0,914503.375,8324552,0,1,0,80.7871704101562,0,1,0,4.05265,3.18128,748311.3125,7.4831132888794,14.7299995422363,70.5130462646484,0.807871699333191,0.652656674385071,0.52726286649704,0.425960749387741,-1.82351684570312,0.327993392944336
"1368","2442"," 95","11",210807,"male",39,21,8,7,"2442 9511",5,1.60943794250488,3,0.600000023841858,1,2,2,3.40000009536743,2108,2018,2602.263671875,765.371643066406,6.64036130905151,7.86413717269897,1,0,0,914503.375,8324552,0,1,0,80.7871704101562,0,1,0,4.05265,3.18128,748311.3125,7.4831132888794,14.7299995422363,70.5130462646484,0.807871699333191,0.652656674385071,0.52726286649704,0.425960749387741,-1.82351684570312,0.327993392944336
